,Date,Player1,Player2,Sets_P1,Sets_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,Odds_P1,Odds_P2,Player1_Name,Player2_Name,pythagorean_P1,pythagorean_P2,D_Sets,D_Odds,D_Total,D_Total_Allowed
110650,1758489900,385950,380926,1.6787302227178544,1.9704953307975956,36.93567050145527,36.08339390399498,0,41.69504823686135,34.99644990327657,False,3.875,1.203,Filip Marat,Marek Kulisek,0.4687574039885007,0.49778950112416753,-0.292,2.672,0.852,6.699
110651,1758522000,683409,671655,2.334607431123967,1.9601834136914371,38.71794802472793,36.93936757230553,0,36.66788784073731,35.97657078232137,False,1.666,2.1,Libor Stacho,Michal Nemec,0.5144406326541928,0.5080840506812696,0.374,-0.434,1.779,0.691
110652,1758523800,731752,636503,2.0803405264023396,2.281474327799952,37.564222813686,38.93358009512521,0,36.037696879836176,37.05210111669005,False,2.0,1.727,Jiri Celler,Filip Musil,0.5136742393946756,0.5085020137967582,-0.201,0.273,-1.369,-1.014
110653,1758524100,381285,385950,2.0854159212822956,1.6787302227178544,38.561991752966975,36.93567050145527,0,38.83133827719792,41.69504823686135,False,1.5,2.5,Petr Chlumsky,Filip Marat,0.5074893751740047,0.4687574039885007,0.407,-1.0,1.626,-2.864
110654,1758525600,683409,636503,2.334607431123967,2.281474327799952,38.71794802472793,38.93358009512521,0,36.66788784073731,37.05210111669005,False,1.5,2.5,Libor Stacho,Filip Musil,0.5144406326541928,0.5085020137967582,0.053,-1.0,-0.216,-0.384
110655,1758525900,380030,649271,2.009869122058949,2.1653662349548033,38.36204108051363,36.81186239362314,0,38.687372095535046,36.50293130233114,False,1.833,1.833,Josef Ruzicka,Jan Simecek,0.4916305889282494,0.4909896676881698,-0.155,0.0,1.55,2.184
110656,1758527400,671655,731752,1.9601834136914371,2.0803405264023396,36.93936757230553,37.564222813686,0,35.97657078232137,36.037696879836176,False,1.833,1.833,Michal Nemec,Jiri Celler,0.5080840506812696,0.5136742393946756,-0.12,0.0,-0.625,-0.061
110657,1758527700,381285,649271,2.0854159212822956,2.1653662349548033,38.561991752966975,36.81186239362314,0,38.83133827719792,36.50293130233114,False,1.727,2.0,Petr Chlumsky,Jan Simecek,0.5074893751740047,0.4909896676881698,-0.08,-0.273,1.75,2.328
110658,1758529200,683409,731752,2.334607431123967,2.0803405264023396,38.71794802472793,37.564222813686,0,36.66788784073731,36.037696879836176,False,2.2,1.615,Libor Stacho,Jiri Celler,0.5144406326541928,0.5136742393946756,0.254,0.585,1.154,0.63
110659,1758529500,385950,380030,1.6787302227178544,2.009869122058949,36.93567050145527,38.36204108051363,0,41.69504823686135,38.687372095535046,False,1.615,2.2,Filip Marat,Josef Ruzicka,0.4687574039885007,0.4916305889282494,-0.331,-0.585,-1.426,3.008
110660,1758531000,636503,671655,2.281474327799952,1.9601834136914371,38.93358009512521,36.93936757230553,0,37.05210111669005,35.97657078232137,False,1.5,2.5,Filip Musil,Michal Nemec,0.5085020137967582,0.5080840506812696,0.321,-1.0,1.994,1.076
110661,1758531300,381285,380030,2.0854159212822956,2.009869122058949,38.561991752966975,38.36204108051363,0,38.83133827719792,38.687372095535046,False,1.666,2.1,Petr Chlumsky,Josef Ruzicka,0.5074893751740047,0.4916305889282494,0.076,-0.434,0.2,0.144
110662,1758536400,834482,629518,2.177185023969195,2.0680806681812065,38.75744593545788,37.1209704227993,0,35.63340864290602,36.96741739790947,False,2.5,1.5,Adam Martin Rek,Ondrej Fiklik,0.5175278094714881,0.4947249881038099,0.109,1.0,1.636,-1.334
110663,1758538200,560213,677781,2.22448852332351,2.2522739424149902,36.62011874334661,39.12208881053576,0,33.83303371700013,35.60870193174027,False,2.2,1.615,Michal Brozek,Petr Kotrbaty,0.5149859150653873,0.5262503525991727,-0.028,0.585,-2.502,-1.776
110664,1758542100,464706,362361,1.8878960503501516,1.8551101072064773,38.563574047785146,36.87466446850843,0,40.56640660775935,38.58876258654907,False,1.833,1.833,Vaclav Hejda Jr,Robert Jamrich,0.47878867309963713,0.49986913615770223,0.033,0.0,1.689,1.978
110665,1758543900,383509,385950,1.9520936296395115,1.6787302227178544,36.668853324954,36.93567050145527,0,38.171134802459335,41.69504823686135,False,1.615,2.2,Jonas Kulveit,Filip Marat,0.4746343925069293,0.4687574039885007,0.273,-0.585,-0.267,-3.524
