,Date,Player1,Player2,Sets_P1,Sets_P2,G1_P1,G1_P2,G2_P1,G2_P2,G3_P1,G3_P2,G4_P1,G4_P2,G5_P1,G5_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,G5,G4,Odds_P1,Odds_P2,pythagorean_P1,pythagorean_P2,D_Sets,D_G1,D_G2,D_G3,D_G4,D_G5,D_Odds,D_Total,D_Total_Allowed
329,1759426800,817959,959873,1.9281729030088732,1.7138376779013047,9.683412532341427,8.933181475938081,8.997225677096377,8.479013851376346,8.9741395868342,8.541758471484766,6.50277539307952,6.590075445101518,2.6418641758235157,2.5934150545753427,33,15,48,36.15443962278902,37.812000821828875,0,0,0,1.25,3.65,0.5177022573420297,0.5247880626563108,0.214,0.75,0.518,0.432,-0.087,0.048,-2.4,18,-1.658
328,1759427400,1033391,757792,2.32028005165914,2.0504637791868534,9.302070499949146,9.298824114573366,9.492358001601408,9.078655163323457,9.865473606076291,9.63801819421757,8.201600530671833,5.18888559317747,2.724548111414319,2.2686597240188546,44,48,92,37.187888950256315,33.76239427300093,1,1,0,1.37,3.306,0.5180302701804895,0.5251033471242644,0.27,0.003,0.414,0.227,3.013,0.456,-1.936,-4,3.425
326,1759428000,867989,983267,1.8229620048647053,2.1639914374601394,9.152853872356005,9.599524397475482,8.833040060182846,9.89325822999864,9.503710725440296,9.121707622804282,7.346967778048741,6.317586059600344,3.2911391188288595,3.6702018577052122,50,37,87,39.46256447162371,38.312949207446,1,1,0,0.0,0.0,0.4818446609238084,0.4831294928632309,-0.341,-0.447,-1.06,0.382,1.029,-0.379,0.0,13,1.15
327,1759428000,747671,1023520,1.6449605560621396,1.9286100789611353,8.86995807898632,9.20351962908144,8.368090194132538,9.747334314201794,9.21747826866734,9.87719283742876,7.4234310728220505,6.913568121631735,2.9457712270587093,3.195355951565312,52,48,100,41.66492450590141,40.07546303704829,1,1,0,2.675,1.4,0.44469228202165223,0.48988248532957124,-0.284,-0.334,-1.379,-0.66,0.51,-0.25,1.275,4,1.589
325,1759428300,770453,677426,1.6216062542556438,2.2857073462617623,8.256811119638845,9.300420995164858,9.145571055400803,9.959122034243833,9.211279659184987,10.196904057869164,6.824484307118055,6.363734478875494,1.799709431990429,3.012501557010264,20,34,54,38.87510864815923,35.66076060586558,0,0,0,2.625,1.425,0.47730232400137573,0.5260586616413755,-0.664,-1.044,-0.814,-0.986,0.461,-1.213,1.2,-14,3.214
324,1759428600,907473,671655,2.120251960181471,2.348197666563056,9.163389830740762,9.660707525163996,9.391866619298384,9.297729151670858,9.494038947095252,9.664397810919342,6.334708459047736,6.425397994611386,2.7967035017525594,3.3413138408401974,51,46,97,36.223659400496494,34.94964573595072,1,1,0,1.39,2.775,0.4840767771063357,0.5107078813950461,-0.228,-0.497,0.094,-0.17,-0.091,-0.545,-1.385,5,1.274
323,1759428900,382065,380031,1.9656674790703157,2.2156586475955455,9.392527806056025,9.386760876813756,9.541048510330917,9.604345137125867,9.479512347056211,9.874953492182996,7.13632009271943,6.630989860646356,3.846322690110436,1.6721202763359617,35,41,76,41.00928719665255,35.02349046745527,1,0,1,1.702,2.042,0.48782041256471803,0.4936011028727254,-0.25,0.006,-0.063,-0.395,0.505,2.174,-0.34,-6,5.986
320,1759429800,759876,1067458,2.0858459184369034,2.1980838157529314,8.964573391685466,9.271318758865426,9.702983942377639,9.821289618005311,9.826737276371713,10.000552134520154,6.954903544531781,7.828565097937347,3.66400805840797,4.397235281670266,18,33,51,37.82003042749123,41.59591161170752,0,0,0,1.9,1.8,0.4909716654268312,0.48735710907079044,-0.112,-0.307,-0.118,-0.174,-0.874,-0.733,0.1,-15,-3.776
319,1759430100,273429,832727,2.554068572113273,1.8079235606906885,10.16450075582502,9.655335579443513,9.947249717081577,8.73865120204462,10.246561381451434,9.413644521101066,6.389127426638633,5.668949908196168,3.725414800847411,1.1580093726936809,50,38,88,35.56538058924916,35.09152699111255,1,0,1,1.56,2.25,0.5183609632097436,0.5068607277487372,0.746,0.509,1.209,0.833,0.72,2.567,-0.69,12,0.474
318,1759430400,977429,684030,1.8530415128756406,2.003928846314626,9.066499408881908,9.619101999784432,9.607992533080463,9.354700462183485,8.557267858647073,9.121964425908608,6.46313144537168,7.309361030988467,3.363748609486886,2.3068731967168823,33,17,50,38.42459991412133,38.403200147271775,0,0,0,1.826,1.826,0.5057611013732428,0.4911106383793816,-0.151,-0.553,0.253,-0.565,-0.846,1.057,0.0,16,0.021
