,Date,Player1,Player2,Sets_P1,Sets_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,pythagorean_P1,pythagorean_P2,D_Sets,D_Total,D_Total_Allowed
36697,1731922200,816731,820666,1.8887055321818205,2.057627043050508,37.71592363312223,37.57621832098291,56,36.03863808174288,38.69719023546138,False,0.53345935547932,0.48872645874101533,-0.169,0.14,-2.659
36696,1731922500,968152,697468,1.8942815321635917,1.811881804639455,36.21285152337239,36.59678296738674,54,36.584025117038685,37.878829624653484,False,0.49306732628196864,0.48953538564506893,0.082,-0.384,-1.295
36692,1731924000,783710,714093,1.750029784442025,2.0051275599856386,34.71481087475192,36.48540814084676,106,35.68279820192782,36.26093727517092,True,0.49400020199518896,0.4936108079451122,-0.255,-1.771,-0.578
36687,1731925800,707970,816731,2.095537955638729,1.8567657581227388,39.0038634075051,38.04959017481388,81,38.36473950679554,36.72010296925717,True,0.5067357182901399,0.5314876023904898,0.239,0.954,1.645
36686,1731926100,697468,815950,1.8188474279834292,2.1425351719835684,36.944964428224665,37.33424527468382,92,38.21656748764495,36.093377788291555,True,0.4895470695352896,0.5166430566433469,-0.324,-0.389,2.123
36682,1731927600,783710,811039,1.795412294959132,2.1638967801743894,35.451302670604136,35.53695634098578,107,36.09369041618427,34.44931325820701,True,0.4955922117642433,0.4954136240597332,-0.368,-0.086,1.644
36681,1731927900,968152,747620,1.8979973740631713,2.4051086636344565,36.62715170272983,37.50464591213747,72,37.1258729754622,31.886155930177342,False,0.49257614025629354,0.5611651028879568,-0.507,-0.877,5.24
36678,1731929400,820666,714093,1.9862367947780775,1.9339187719562514,37.13988105991532,36.07752287207193,62,38.4995237891836,36.18064382831583,False,0.4876833383427389,0.49221872556452995,0.052,1.062,2.319
36677,1731929700,917579,697468,1.9867247442232114,1.8623983370413182,36.30083733152002,36.799507532036486,48,36.54961229659344,37.58176620734692,False,0.5135198555832575,0.4918357261228708,0.124,-0.499,-1.032
36674,1731931200,707970,783710,2.021515413999785,1.8028141803395912,38.65048808751161,35.94148806403572,79,38.24588383559389,36.850070704222055,True,0.5057331006469431,0.49424546124044805,0.219,2.709,1.396
36670,1731933000,816731,714093,1.8977240749751423,1.9716759396347003,37.90450669898127,36.81852970756165,58,36.192730170726556,36.634664186025546,False,0.5331627207107462,0.4936350237797957,-0.074,1.086,-0.442
36669,1731933300,815950,747620,2.1724051592431035,2.3908697158231345,37.53161316189191,37.76809610529542,90,35.81144308552116,32.20649356232394,True,0.5186917796646453,0.5608915253529878,-0.218,-0.236,3.605
36666,1731934800,811039,820666,2.1943639535100994,1.917454735045633,35.517389926784034,36.61559704395963,95,34.250743072539024,38.34370827169402,True,0.4966055600730557,0.48608724940804,0.277,-1.098,-4.093
36665,1731935100,917579,968152,1.9137691502633065,1.8723259116700226,35.77568854848971,36.18136315859068,107,36.4927081452588,36.84191067359745,True,0.5109512973029051,0.4918374916284208,0.041,-0.406,-0.349
36662,1731936900,697468,747620,1.9041728230400699,2.342097958273511,37.28424995615124,37.60089969245013,53,37.744010560287094,32.44471231503728,False,0.49340727870878803,0.5592398894238236,-0.438,-0.317,5.299
36661,1731937200,714093,783710,1.9020286855979072,1.8459813405739258,36.47170109386104,36.62868450844493,77,36.57692149639772,37.39633462976304,True,0.4924436244648001,0.49489232866348176,0.056,-0.157,-0.819
36657,1731939000,707970,820666,1.985522834212047,1.9548736154696047,38.451395993019275,36.559752882465105,76,38.58956519320708,37.95160562515865,True,0.5033628110775646,0.48734434933817594,0.031,1.892,0.638
36654,1731940500,747620,917579,2.3651152731063476,1.843768028441221,37.96472188872875,35.01576329584341,50,32.77901294189952,36.36495319198682,False,0.5592630578246636,0.5075372728075888,0.521,2.949,-3.586
36653,1731940800,811039,816731,2.1873072060336156,1.937095308773297,36.11582196595322,38.265098832074585,57,35.004083719389804,36.078691822294644,False,0.49612528126467187,0.535138989670153,0.25,-2.149,-1.075
36650,1731942300,815950,968152,2.1606379384550514,1.8418737439974453,37.836595302341095,36.24485024901094,53,36.710468041749074,37.09179358257305,False,0.516120068542137,0.49106597832318066,0.319,1.592,-0.381
36620,1731956400,833546,747673,2.0081205717780537,2.1027260971229547,35.61041790879687,39.248442999152765,75,34.22342816295245,37.75616327091239,True,0.5226857397911169,0.514591406953113,-0.095,-3.638,-3.533
36583,1731981600,771955,939384,2.291141363294039,1.88379754960368,39.23504859719486,37.70729532317889,58,35.88172706237466,37.24489499831339,False,0.5360913262849151,0.5078200655365577,0.407,1.528,-1.363
36571,1731996000,811039,311807,2.21671004287204,2.1499165080522404,36.58196536890304,37.241878095248474,54,35.40191071464323,36.59809997583446,False,0.4967412274577337,0.5107035883192178,0.067,-0.66,-1.196
36570,1731997800,816731,714093,1.9749493164322185,1.8350116653094954,38.14881646243536,35.99703250849063,73,35.612910737220645,36.521359463754614,False,0.5367227694879764,0.49064812447039824,0.14,2.152,-0.908
36569,1731999600,707970,311807,2.021180149683501,2.14451093957775,38.57612397786445,37.52161419459094,84,38.53369441615258,37.08133487244541,True,0.5040733085996489,0.5096834572506267,-0.123,1.055,1.452
36565,1732001400,811039,714093,2.2449532800821825,1.8759592173801802,36.48886694510902,36.20802760313465,51,34.9547326256288,36.46788601341584,False,0.4987468224235749,0.49184597537887376,0.369,0.281,-1.513
36564,1732001700,815950,697468,2.1897044886297916,1.9827263601869765,37.6691072224395,36.977136758784845,50,36.1664249779446,36.29582091426582,False,0.5177100547983419,0.49895149076478384,0.207,0.692,-0.129
36559,1732003500,748305,917579,1.7513890566521328,1.8912335139538976,36.443956898586976,35.60923688150792,67,38.1192426486684,36.24603664453575,False,0.47013415868082165,0.5103359363688047,-0.14,0.835,1.873
36550,1732006800,811039,707970,2.1642704240151294,2.018575350855965,35.932202343907065,38.81062441383719,72,34.88448020100934,38.50269841348642,False,0.4966341111705693,0.5051444509804559,0.146,-2.878,-3.618
36540,1732010400,816731,311807,1.9436002855394594,2.1752569249581053,37.83711510993304,37.35910892087782,84,35.32345152342841,36.50337717577918,True,0.5365288558589107,0.5115724570198422,-0.232,0.478,-1.18
36531,1732014000,816731,707970,1.9809164275070186,2.0528360641672525,37.94884049187813,38.852144520360405,47,35.34734984397328,38.275694652893556,False,0.5368293389804173,0.5062479853200565,-0.072,-0.903,-2.928
36529,1732014300,815950,917579,2.141192304967624,1.9313481554557825,36.8001126135539,35.91281068055541,55,35.51764788937172,36.30949420038486,False,0.5170028354869739,0.5112256706111123,0.21,0.887,-0.792
36526,1732015800,714093,311807,1.8856433766905945,2.20480475247412,35.85188040591404,37.561203466059744,73,36.076647923026776,36.66447635882828,False,0.4920125010141455,0.5117250852236276,-0.319,-1.709,-0.588
36520,1732017600,811039,816731,2.1193519777122938,1.9815888275473656,35.4579919020219,38.056346556432935,79,34.71634874643649,35.61698710793775,True,0.4955012197979396,0.5359993716399902,0.138,-2.598,-0.901
36519,1732017900,815950,748305,2.1363289192144608,1.8115739437552696,36.84144287742331,37.359738355004986,103,35.98204911285901,38.72273383037096,True,0.5152396963005874,0.47220411353446673,0.325,-0.518,-2.741
36514,1732019700,697468,917579,2.0891980145714872,1.9698807413339239,36.73883510769843,35.915954482679844,98,34.656597914872,36.11804874292338,True,0.5060975295488768,0.5119490003177816,0.119,0.823,-1.461
36510,1732021200,707970,714093,2.0161602743324623,1.8896354707243723,38.61344846795539,35.96177862680822,60,38.33576123179774,36.3881546775713,False,0.5050281430036215,0.49122971301422214,0.127,2.652,1.948
36505,1732023600,811039,707970,2.043873934705745,1.9460704293645026,35.04992999694702,37.75778594488686,109,34.655223154340355,38.150268698151535,True,0.49400862022934766,0.5022817844008333,0.098,-2.708,-3.495
36502,1732025100,748305,697468,1.8182655834125692,2.1219319276323527,37.73760964418177,36.999798900166866,70,39.19425397260553,34.99239660266625,False,0.47205101574201674,0.5059997980048111,-0.304,0.738,4.202
36497,1732027200,311807,816731,2.1892885070126193,2.01738441731561,37.65733462333624,37.878623734889004,102,36.86138111006416,34.857183186425736,True,0.5112480194751177,0.5386209135744214,0.172,-0.221,2.004
36488,1732030500,697468,917579,2.1533902141397245,2.006655569218273,37.60886010363308,36.10453537430014,94,35.31510935961006,36.26948068176784,True,0.5075318122628908,0.5117810311451004,0.147,1.504,-0.954
36391,1732068000,771955,939384,2.148365051199064,1.9974939014404698,38.59713867985346,37.16411711215878,75,36.468928458093046,35.78687661306724,True,0.5309217299111267,0.5121859652707492,0.151,1.433,0.682
36377,1732084200,783710,917579,1.815577059405794,2.0421359738415705,36.64202946071026,36.7437278901751,54,37.561788794775374,36.545600368816615,False,0.4941014433629116,0.5132251580468092,-0.227,-0.102,1.016
36376,1732085400,815950,811039,2.092905394023894,2.006802478889539,36.73640601812477,35.04815681570915,59,35.76792863229779,34.98708744410617,False,0.5154453085369214,0.49257781604974643,0.086,1.688,0.781
36374,1732086600,311807,816731,2.2180795844528696,2.0518404762965208,37.49193708923749,38.09327380288285,89,36.298090400854626,34.86219115153305,True,0.5130267534062511,0.539474664257751,0.166,-0.601,1.436
36371,1732087800,783710,811039,1.7863576200353974,2.0419783401240537,36.58320095429471,35.75478691929491,55,37.72079528193498,35.66046364522911,False,0.4929894831539864,0.49288936571427633,-0.256,0.828,2.06
