Date,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner
1751284800,981770,820666,3,0,11,7,11,4,11,7,0,0,0,0,1
1751284500,487919,383351,3,0,11,4,11,9,13,11,0,0,0,0,1
1751284200,852763,580890,3,2,8,11,12,10,8,11,11,5,11,8,1
1751283300,1097691,804365,1,3,4,11,11,7,4,11,5,11,0,0,0
1751283000,816731,707970,2,3,11,9,6,11,6,11,11,8,8,11,0
1751283000,964166,920854,1,3,8,11,9,11,11,9,7,11,0,0,0
1751282700,1010717,383351,3,1,12,10,7,11,11,8,11,3,0,0,1
1751282100,580890,920854,2,3,11,5,13,11,7,11,7,11,7,11,0
1751281500,898479,1019089,0,3,6,11,9,11,9,11,0,0,0,0,0
1751281200,311807,1016369,3,2,14,12,4,11,11,9,9,11,11,7,1
1751280900,487919,695309,1,3,10,12,11,5,7,11,13,15,0,0,0
1751279700,748305,968152,0,3,7,11,9,11,13,15,0,0,0,0,0
1751279400,820666,707970,0,3,5,11,2,11,8,11,0,0,0,0,0
1751279100,1010717,677781,3,1,11,8,11,9,8,11,11,7,0,0,1
1751278800,964166,852763,0,3,7,11,6,11,7,11,0,0,0,0,0
1751277900,898479,804365,3,0,11,7,11,4,11,9,0,0,0,0,1
1751277600,1016369,981770,3,2,5,11,13,11,14,16,12,10,11,8,1
1751277300,560213,514114,2,3,11,8,7,11,6,11,11,9,8,11,0
1751277000,482831,808048,1,3,10,12,12,10,9,11,7,11,0,0,0
1751276100,968152,1097691,3,0,11,8,11,6,12,10,0,0,0,0,1
1751275800,311807,816731,2,3,11,4,9,11,11,6,9,11,8,11,0
1751275500,514114,560213,0,3,9,11,6,11,15,17,0,0,0,0,0
1751275200,1000354,727486,3,1,11,8,13,11,2,11,11,4,0,0,1
1751274300,748305,1019089,3,0,11,8,11,8,11,3,0,0,0,0,1
1751274000,1016369,707970,1,3,4,11,11,7,6,11,5,11,0,0,0
1751273700,677781,1010717,0,3,7,11,8,11,6,11,0,0,0,0,0
1751273400,1000354,808048,0,3,7,11,6,11,4,11,0,0,0,0,0
1751272500,898479,968152,3,2,11,8,9,11,5,11,11,9,11,9,1
1751272200,816731,820666,3,2,11,7,11,5,7,11,11,13,13,11,1
1751271900,560213,1010717,1,3,4,11,11,4,9,11,4,11,0,0,0
1751271600,482831,727486,1,3,7,11,12,10,5,11,5,11,0,0,0
1751270700,1019089,804365,3,2,11,5,8,11,15,17,11,8,11,8,1
1751270400,311807,981770,3,0,11,7,11,8,11,9,0,0,0,0,1
1751270100,677781,514114,3,0,11,2,11,9,11,8,0,0,0,0,1
1751269800,808048,727486,3,2,11,8,11,6,5,11,9,11,11,7,1
1751268900,748305,1097691,0,3,7,11,9,11,7,11,0,0,0,0,0
1751268600,1016369,816731,0,3,4,11,7,11,13,15,0,0,0,0,0
1751268300,1010717,514114,2,3,7,11,6,11,11,6,11,9,5,11,0
1751268000,482831,1000354,3,1,11,8,5,11,11,9,11,9,0,0,1
1751267100,968152,1019089,3,2,6,11,8,11,11,5,11,7,11,9,1
1751266800,981770,707970,1,3,7,11,8,11,11,8,4,11,0,0,0
1751266500,677781,560213,3,1,11,3,13,11,11,13,17,15,0,0,1
